"제품별",2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12
"무연보통휘발유",1551.76,1564.55,1557.85,1551.33,1580.29,1609.08,1610.91,1618.29,1637.58,1681.12,1580.91,1433.13,1351.19,1343.77,1369.52,1424.39,1517.22,1517.54,1491.50,1493.72,1529.27,1540.47,1535.65,1548.47
"실내등유",896.48,909.49,908.93,906.95,918.85,938.83,942.17,946.57,959.88,997.30,1010.34,980.16,942.73,936.42,943.86,957.81,972.46,973.43,969.23,967.96,968.84,973.08,971.83,970.78
"자동차용 경유",1344.93,1360.41,1354.58,1349.06,1380.24,1410.01,1411.85,1419.13,1438.93,1485.02,1424.66,1324.11,1249.41,1242.91,1269.16,1316.42,1385.31,1379.77,1352.84,1351.92,1379.84,1387.73,1380.51,1385.42
